eid,gp2025,fp2025
42711,9,19
42742,6,27
4081461,3,40
42801,16,-4
42822,4,17
42962,15,39
42984,11,66
42985,13,14
34892,7,25
34897,12,60
34980,33,397
4720860,14,-50
35022,49,115
35058,10,43
4991148,5,11
35073,38,115
4991318,2,2
35265,61,171
35284,22,97
4917659,16,190
4917796,3,68
3975795,7,4
4917788,3,82
4999877,5,22
4418343,22,111
4623366,12,27
35844,47,279
4713488,6,57
36006,16,28
36025,26,170
36049,24,363
36068,11,27
36176,59,180
36192,39,216
4009410,31,37
5131856,8,-30
5132025,13,59
36526,58,504
5132192,14,129
5001160,14,39
4927620,6,44
5165292,3,44
3960984,42,55
4346118,29,149
4976999,20,142
4722955,1,-24
4722960,39,252
4993423,2,2
37639,33,86
5116841,11,95
5116856,9,55
29703,67,223
29705,3,16
4297972,12,127
4297994,8,88
5264585,23,131
4298095,10,4
4085111,5,10
5125630,26,105
30189,28,158
4683355,2,15
5133869,29,109
38582,13,21
4208302,7,52
4020015,30,91
30520,2,5
39085,22,114
6321,2,2
39112,4,17
31026,61,476
31053,4,-75
31094,3,27
4995563,5,-1
31206,3,2
4684369,24,239
5061202,6,92
5012036,5,70
4987652,15,108
4414112,32,294
39681,7,25
4987667,2,-28
39816,21,98
4742103,1,0
39828,1,0
39876,38,255
39899,47,109
39904,4,2
31737,12,25
39947,13,34
5135493,22,95
31944,5,3
4717905,7,32
5201272,13,71
5201199,20,31
40364,14,-14
32219,114,337
4988501,15,96
40519,39,104
4152948,2,9
4881978,8,32
40572,14,26
40622,11,9
5136132,1,11
5201596,6,57
40761,2,37
4218871,2,-9
40999,3,-9
5136495,9,37
41031,56,289
41042,10,138
41073,5,95
41099,1,0
41118,1,-8
32961,14,19
41200,5,1
41206,12,22
41283,13,84
41284,23,53
41289,11,48
33107,19,216
33108,3,1
33123,21,31
41330,1,10
41333,34,169
41351,11,174
41421,8,192
41448,4,9
41473,4,40
41556,3,15
41626,36,98
41691,19,146
5137056,3,33
5137265,7,39
33636,19,18
41852,5,4
41874,18,136
33685,20,86
33728,4,46
41975,25,221
41989,31,45
33820,6,15
42012,3,10
33831,1,53
42023,44,77
42052,5,4
42073,16,46
5202976,10,38
42106,30,79
4424931,10,20
42262,39,159
34187,7,-12
34254,3,19
42459,9,-2
42540,30,214
42589,1,-4
4228651,6,3
42631,15,46
42639,49,319
5203596,3,4
5236382,2,6
42753,48,66
4728692,1,-21
42950,8,12
42966,3,28
34834,13,75
43026,26,13
43031,9,39
34868,6,4
34913,13,154
34936,5,8
34950,6,37
3254447,7,6
5138677,1,25
5015727,9,64
35149,9,0
43393,13,-29
35222,28,203
5196252,1,-2
4721043,1,5
4917842,6,4
4991600,1,32
35439,24,21
4917815,2,-3
5196434,1,-11
3033851,5,19
4999871,10,144
4926295,5,23
5270370,3,-6
4623365,24,90
35831,19,68
5196880,7,8
5221476,22,-16
35949,6,48
36011,4,-12
36013,6,-21
36053,18,55
36110,4,6
4345203,1,-10
4672794,3,25
4705678,14,-8
36462,48,122
5131982,3,4
4345949,3,7
3960910,6,5
4722919,9,89
5124252,12,-24
4722862,30,35
4993411,6,108
29220,4,8
37567,5,16
3896017,9,50
5125257,18,127
37979,25,106
3183870,24,165
38102,12,58
4297882,3,-1
38159,30,241
38190,10,52
38314,7,55
4298336,2,25
5125654,1,40
4019957,9,-36
4208304,5,-25
5134022,26,161
38706,29,185
39120,25,27
39142,2,23
4995355,27,273
31133,3,10
5200390,8,61
31173,6,-4
39400,20,25
31264,7,28
4987419,9,39
4414160,2,-9
39682,8,-18
39738,2,30
4905860,3,30
4414247,10,70
39822,20,118
39835,4,43
39889,12,101
40039,4,-41
31983,9,60
40318,7,43
4087123,11,11
